"key";"cz";"en";"sk"
"process.button.ok";"Ok";"Ok";"Ok"
"process.button.cancel";"Storno";"Cancel";"Storno"
"process.title.error";"Nastala chyba";"Failure occurred";"Nastala chyba"
"process.title.ok";"Hotovo";"Done";"Hotovo"
"process.successfullyDone";"Generování úspěšně dokončeno za {0}s";"Generatin successfully done in {0}s";"Generovanie úspešne dokončené za {0}s"
"process.label.leftDescription";"Zbývá:";"Left:";"Zostáva:"
"check.showIdInLists";"Zobrazit Id v seznamech";"Show Id in lists";"Zobraziť Id v zoznamoch"
"check.showBirthInLists";"Zobrazit narození v seznamech";"Show birth in lists";"Zobraziť narodenie v zoznamoch"
"check.showDeathInLists";"Zobrazit úmrtí v seznamech";"Show death in lists";"Zobraziť úmrtia v zoznamoch"
"check.showWeddingNameInLists";"Zobrazit příjmení po svatbě v seznamech osob";"Show wedding name in lists of people";"Zobraziť priezviská po svadbe v zoznamoch osôb"
"check.showShortDescInLists";"Zobrazit krátký popisek v seznamech souborů";"Show short description in lists of files";"Zobraziť krátky popis v zoznamoch súborov"
"label.guiLanguage";"LANGUAGE - Jazyk okna";"Language of this window";"LANGUAGE - Jazyk tohto okna"
"label.guiLanguage.tip";"NEMÁ žádný efekt na jazyk stránek, které budou vygenerovány";"Does NOT any effect to pages that will be generated";"NEMÁ žiaden efekt na jazyk stránok, ktoré budú vygenerované"
"label.windowSettings";"Nastavení tohoto okna";"Preferences for this window";"Nastavenia tohto okna"
"label.windowSettings.tip";"Tato nastavení NEMAJÍ žádný efekt na stránky, které budou vygenerovány";"These settings does NOT any effect to language of pages that will be generated";"Tieto nastavenia NEMAJÚ žiaden efekt na stránky, ktoré budú vygenerované"
"check.openBrowser";"Otevřít prohlížeč po vygenerování";"Open browser after generating";"Otvoriť prehliadač po vygenerovaní"
"check.openBrowser.tip";"Výchozí prohlížeč bude otevřen po úspěšném vygenerování stránek";"The default browser will be opened after successfully generating";"Východzí prehliadač bude otvorený po úspešnom vygenerovaní stránok"
"label.defaultLanguage";"Výchozí jazyk";"Default language";"Východzí jazyk"
"label.defaultLanguage.tip";"Tento jazyk bude předvybrán po zobrazení indexu stránek";"This language is preselected when enter to index page";"Tento jazyk bude predvybraný po zobrazení indexu stránok"
"combo.checkNewVersion.daily";"1x denně";"once a day";"1x denne"
"combo.checkNewVersion.weekly";"1x týdně";"once a week";"1x týždenne"
"combo.checkNewVersion.monthly";"1x měsíčně";"once a month";"1x mesačne"
"combo.checkNewVersion.never";"nikdy";"never";"nikdy"
"check.autoclose";"Zavřít okno automaticky";"Close window automaticaly";"Zatvoriť okno automaticky"
"check.autoclose.tip";"Automaticky zavřít okno po dokončení generování";"Window will be automaticaly closed after generating finished";"Automaticky zatvoriť okno po dokončení generovania"
"label.checkNewVersion";"Kontrolovat nové verze";"Check for new versions";"Kontrolovať nové verzie"
"newerVersion.download";"Byla nalezena novější verze ({0}) než je vaše ({1}).{2}Chcete otevřít domovskou stránku programu,{2}kde si novou verzi můžete stáhnout?";"Newer version has been found ({0}). Your version is {1}.{2}Do you want to open home page of this application,{2}where you can download the newer version?";"Bola nájdená novšia verzia ({0}) než je Vaša ({1}).{2}Chcete otvoriť domovskú stránku programu,{2}kde si novú verziu môžete stiahnuť?"
"newerVersion.download.title";"Novější verze Ancetry2html";"Newer version of Ancetry2html";"Novšia verzia Ancetry2html"
"newerVersion.notFound";"Používáte nejnovější verzi Ancestry2html.";"You are using the newest version of Ancestry2html.";"Používate najnovšiu verziu Ancestry2html. "
"newerVersion.notFound.title";"Nenalezeno";"Not found";"Nenájdené"
"newerVersion.error.title";"Chyba";"Error";"Chyba"
"newerVersion.error";"Nepodařilo se zjistit zda existuje novější verze. Chyba při připojení nebo při čtení informací z internetu.";"Unable to get if you are using the newest version. Can not connect or reading information on internet.";"Nepodarilo sa zistiť, či existuje novšia verzia. Chyba pri pripojení alebo pri čítaní informácií z internetu. "
"button.checkNow";"Zjistit novější verzi nyní!";"Check new version now!";"Zistiť novšiu verziu teraz! "
"progress.computeAditionalData";"Počítám doplňující data osob.";"Computing additional data of people.";"Prepočítavam doplňujúce dáta osôb."
"progress.computeAditionalData.person";"Počítám doplňující data pro {0}. osobu.";"Computing additional data for person {0}.";"Prepočítavam doplňujúce dáta pre {0}. osobu."
"progress.computeAditionalDataDone";"Doplňující data osob spočítána.";"Computing additional data of people done.";"Doplňujúce dáta osôb spočítané."
"progress.preparingOutputDone";"Výstupní složka připravena.";"Preparing output directories done.";"Výstupná zložka je pripravená."
"progress.readingRod";"Čtení rod souboru.";"Reading rod file.";"Načítavanie rod súboru."
"progress.readingRodx";"Čtení rodx souboru.";"Reading rodx file.";"Načítavanie rodx súboru."
"progress.unzipping.rodz";"Rozbaluji rodz. Může trvat delší dobu (v závislosti na velikosti archivu)";"Extracting rodz. It can take a while (depends on size of archive)";"Rozbaľujem rodz. Môže to trvať dlhšiu dobu (v závislosti na veľkosti archívu)."
"progress.readingRodDone";"Čtení rod souboru úspěšně dokončeno.";"Reading rod file successfully done.";"Načítavanie rod súboru úspešne dokončené."
"progress.errorParsingParameters";"Chyba zpracování parametrů programu.";"Error parsing parameters of application.";"Chyba spracovania parametrov programu."
"progress.configurationDone";"Konfigurace úspěšně načtena.";"Configuration successfully processed.";"Konfigurácia úspešne načítaná."
"progress.generatingFile";"Generuji soubor {0}.";"Generating file {0}.";"Generujem súbor {0}."
"progress.generatingFileDone";"Soubor {0} vygenerován.";"File {0} generated.";"Súbor {0} vygenerovaný."
"process.readingRodLine";"Zpracovávání rod souboru - řádek {0}.";"Processing rod file – line {0}.";"Spracovávanie rod súboru - riadok {0}."
"passwordRequired.title";"Zadejte heslo";"Type password";"Zadajte heslo"
"passwordRequired";"Soubor se nepodařilo otevřít. Pravděpodobně je chráněn heslem (nebo poškozen). Zadejte prosím heslo pro otevření.";"Opening file failed. It is probably protected by password (or corrupted). Please enter password for opening";"Súbor sa nepodarilo otvoriť. Pravdepodobne je chránený heslom (alebo poškodený). Zadajte, prosím, heslo na otvorenie."
"check.showInfoAllowed";"Zobrazit povolené na index.htm";"Show allowed on index.htm";"Zobraziť povolené na index.htm"
"check.showInfoAllowed.tip";"Zobrazit informace o povolených skupinách na index.htm";"Show info about allowed groups on index.htm";"Zobraziť informácie o povolených skupinách na index.htm"
"check.showInfoBlocked";"Zobrazit zakázané na index.htm";"Show hidden on index.htm";"Zobraziť zakázané na index.htm"
"check.showInfoBlocked.tip";"Zobrazit informace o zakázaných skupinách na index.htm";"Show info about hidden groups on index.htm";"Zobraziť informácie o zakázaných skupinách na index.htm"
"check.hidePath";"Skrýt cestu k hlavní osobě";"Hide path to main person";"Skryť cestu k hlavnej osobe"
"check.hidePath.tip";"Skrýt cestu mezi vybranou a hlavní osobou";"Hide path between selected and main person";"Skryť cestu mezi vybranou a hlavnou osobou"
"check.hideAdditionalInfoOnIndex";"Skrýt doplňující údaje na index.htm";"Hide additional info on index.htm";"Skryť doplňujúce údaje na index.htm"
"group.special.living";"_žijící";"_living";"_žijúci"
"group.special.dead";"_nežijící";"_dead";"_nežijúci"
"profile.special.1";"Pro příbuzené (žádná ochrana soukromí)";"For relatives (no privacy protection)";"Pre príbuzných (bez ochrany súkromia)"
"profile.special.2";"Pro známé (mírná ochrana soukromí)";"For friends (simple privacy protection)";"Pre známych (mierna ochrana súkromia)"
"profile.special.3";"Pro veřejnost (střední ochrana soukromí)";"Public (middle privacy protection)";"Pre verejnosť (stredná ochrana súkromia)"
"profile.special.4";"Pro veřejnost (velká ochrana soukromí)";"Public (great privacy protection)";"Pre verejnosť (veľká ochrana súkromia)"
"check.showMainPerson";"Zvýraznit hlavní osobu v seznamech";"Highlight main person in lists";"Zvýraznit hlavní osobu v seznamech TODO"
